"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 19 23:25:24 MSK 2023","Sun Mar 19 23:25:31 MSK 2023","6823","tests","test_password_reminder_page","","","","Восстановление пароля с некорректными данными",""
"passed","Sun Mar 19 23:06:13 MSK 2023","Sun Mar 19 23:06:18 MSK 2023","5258","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:08:29 MSK 2023","Sun Mar 19 23:08:39 MSK 2023","9939","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:01:39 MSK 2023","Sun Mar 19 23:01:47 MSK 2023","8348","tests","test_login_page","","","","Проверка видимости элементов на странице авторизации",""
"passed","Sun Mar 19 23:13:28 MSK 2023","Sun Mar 19 23:13:41 MSK 2023","12982","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:13:11 MSK 2023","Sun Mar 19 23:13:16 MSK 2023","5065","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:21:55 MSK 2023","Sun Mar 19 23:21:59 MSK 2023","3995","tests","test_password_reminder_page","","","","Восстановление пароля с корректными данными",""
"passed","Sun Mar 19 23:20:36 MSK 2023","Sun Mar 19 23:20:44 MSK 2023","7719","tests","test_login_page","","","","Нерезультативный поиск (ничего не найдено)",""
"passed","Sun Mar 19 23:23:45 MSK 2023","Sun Mar 19 23:23:56 MSK 2023","10747","tests","test_password_reminder_page","","","","Восстановление пароля с некорректными данными",""
"passed","Sun Mar 19 23:20:13 MSK 2023","Sun Mar 19 23:20:19 MSK 2023","6499","tests","test_login_page","","","","Нерезультативный поиск (ничего не найдено)",""
"passed","Sun Mar 19 23:12:19 MSK 2023","Sun Mar 19 23:12:29 MSK 2023","10303","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:09:33 MSK 2023","Sun Mar 19 23:09:38 MSK 2023","4978","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:04:49 MSK 2023","Sun Mar 19 23:04:59 MSK 2023","9927","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:24:38 MSK 2023","Sun Mar 19 23:24:43 MSK 2023","4743","tests","test_password_reminder_page","","","","Восстановление пароля с некорректными данными",""
"passed","Sun Mar 19 23:06:56 MSK 2023","Sun Mar 19 23:07:05 MSK 2023","9480","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:19:51 MSK 2023","Sun Mar 19 23:19:56 MSK 2023","4830","tests","test_login_page","","","","Нерезультативный поиск (ничего не найдено)",""
"passed","Sun Mar 19 23:15:40 MSK 2023","Sun Mar 19 23:15:50 MSK 2023","9372","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:23:04 MSK 2023","Sun Mar 19 23:23:08 MSK 2023","4114","tests","test_password_reminder_page","","","","Восстановление пароля с некорректными данными",""
"passed","Sun Mar 19 23:06:32 MSK 2023","Sun Mar 19 23:06:42 MSK 2023","9505","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:24:10 MSK 2023","Sun Mar 19 23:24:20 MSK 2023","9641","tests","test_password_reminder_page","","","","Восстановление пароля с некорректными данными",""
"passed","Sun Mar 19 23:14:49 MSK 2023","Sun Mar 19 23:14:58 MSK 2023","8831","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:18:30 MSK 2023","Sun Mar 19 23:18:37 MSK 2023","7467","tests","test_login_page","","","","Нерезультативный поиск (ничего не найдено)",""
"passed","Sun Mar 19 23:17:35 MSK 2023","Sun Mar 19 23:17:47 MSK 2023","12771","tests","test_login_page","","","","Результативный поиск",""
"passed","Sun Mar 19 23:02:19 MSK 2023","Sun Mar 19 23:02:34 MSK 2023","15433","tests","test_login_page","","","","Авторизация с корректными данными",""
"passed","Sun Mar 19 23:10:19 MSK 2023","Sun Mar 19 23:10:25 MSK 2023","5732","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:09:52 MSK 2023","Sun Mar 19 23:10:01 MSK 2023","9164","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:00:31 MSK 2023","Sun Mar 19 23:00:35 MSK 2023","3361","tests","test_general_page","","","","Проверка корректного кода ответа (200)",""
"passed","Sun Mar 19 23:13:55 MSK 2023","Sun Mar 19 23:14:07 MSK 2023","11779","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:11:57 MSK 2023","Sun Mar 19 23:12:04 MSK 2023","6466","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:11:07 MSK 2023","Sun Mar 19 23:11:12 MSK 2023","4996","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:23:24 MSK 2023","Sun Mar 19 23:23:31 MSK 2023","6408","tests","test_password_reminder_page","","","","Восстановление пароля с некорректными данными",""
"passed","Sun Mar 19 23:03:39 MSK 2023","Sun Mar 19 23:03:52 MSK 2023","13529","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:02:49 MSK 2023","Sun Mar 19 23:02:59 MSK 2023","9984","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:17:15 MSK 2023","Sun Mar 19 23:17:20 MSK 2023","4914","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:11:25 MSK 2023","Sun Mar 19 23:11:40 MSK 2023","14596","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:01:17 MSK 2023","Sun Mar 19 23:01:19 MSK 2023","2122","tests","test_general_page","","","","Проверка возможности перехода в раздел СПЕКТАКЛИ",""
"passed","Sun Mar 19 23:08:04 MSK 2023","Sun Mar 19 23:08:10 MSK 2023","6056","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:20:58 MSK 2023","Sun Mar 19 23:21:04 MSK 2023","6791","tests","test_password_reminder_page","","","","Проверка видимости элементов на странице восстановления пароля",""
"passed","Sun Mar 19 23:04:28 MSK 2023","Sun Mar 19 23:04:34 MSK 2023","5983","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:22:15 MSK 2023","Sun Mar 19 23:22:22 MSK 2023","7371","tests","test_password_reminder_page","","","","Восстановление пароля с некорректными данными",""
"passed","Sun Mar 19 23:03:17 MSK 2023","Sun Mar 19 23:03:23 MSK 2023","6087","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:00:20 MSK 2023","Sun Mar 19 23:00:31 MSK 2023","11389","tests","test_general_page","","","","Проверка видимости элементов на главной странице",""
"passed","Sun Mar 19 23:18:04 MSK 2023","Sun Mar 19 23:18:12 MSK 2023","7646","tests","test_login_page","","","","Нерезультативный поиск (ничего не найдено)",""
"passed","Sun Mar 19 23:14:23 MSK 2023","Sun Mar 19 23:14:31 MSK 2023","8742","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:15:14 MSK 2023","Sun Mar 19 23:15:24 MSK 2023","9374","tests","test_login_page","","","","Авторизация с некорректными данными",""
"passed","Sun Mar 19 23:24:58 MSK 2023","Sun Mar 19 23:25:07 MSK 2023","9439","tests","test_password_reminder_page","","","","Восстановление пароля с некорректными данными",""
